縣市,路段ID,路段名稱,緯度,經度,費率資訊,電動車充電樁,位置描述
NewTaipei,K36,明德街,25.00985647,121.4596637,週一-週五07:00-20:00、例假日及國定假日08:00-18:00 收費二小時以內30元/時，超過二小時後40元/時,無,明德街
NewTaipei,L04,八德街,24.98407717,121.4182086,週一-週五07:00-20:00 收費20元/時,無,八德街
NewTaipei,T40,安成街,24.96068734,121.5103312,週一-週五07:00-20:00 收費20元/時,無,安成街
NewTaipei,K49,萬安街53巷,25.02354122,121.4824224,週一-週五07:00-20:00 收費20元/時,無,萬安街53巷
NewTaipei,P18,民族路,25.09173364,121.4739708,週一-週五07:00-20:00 收費20元/時,無,民族路
NewTaipei,V04,成洲一路,25.09561624,121.4490934,週一-週五07:00-20:00 收費20元/時,無,成洲一路
NewTaipei,T34,防汛道路,24.99580429,121.5277496,週一-週五07:00-20:00 收費20元/時,無,防汛道路
NewTaipei,T94,保福路二段,25.0117808,121.5109837,週一-週五07:00-20:00 收費30元/時,無,保福路二段
NewTaipei,Q18,莊敬街,25.06092522,121.6548158,週一-週五07:00-20:00 收費20元/時,無,莊敬街
NewTaipei,K14,萬板路,25.02130122,121.4711539,週一-週五07:00-20:00 收費30元/時,無,萬板路
NewTaipei,K76,民享街,25.01631443,121.4779467,週一-週五07:00-20:00 收費二小時以內30元/時，超過二小時後40元/時,無,民享街
NewTaipei,L22,俊興街,25.01742294,121.4183832,週一-週五07:00-20:00 收費20元/時,無,俊興街
NewTaipei,R44,中港路339巷,25.04531814,121.4518182,週一-週五07:00-20:00 收費20元/20分鐘,無,中港路339巷
NewTaipei,N35,龍形平面停車場,25.1303964,121.4509018,週一-週五07:00-20:00 收費60元/次,無,龍形平面停車場
NewTaipei,P08,民權路,25.08915762,121.472786,週一-週五07:00-20:00 收費20元/時,無,民權路
NewTaipei,P93,中正南路,25.05839249,121.494304,週一-週五07:00-20:00 收費30元/時,無,中正南路
NewTaipei,KD6,民族路219巷,25.00854584,121.4700501,週一-週五07:00-20:00 收費20元/時,無,民族路219巷
NewTaipei,M03,鶯桃路,24.95455067,121.3383054,例假日及國定假日07:00-20:00 收費20元/時,無,鶯桃路
NewTaipei,J58,文化一路一段15巷,25.06896722,121.3691168,週一-週五07:00-18:00 收費20元/時,無,文化一路一段15巷
NewTaipei,V19,明德路,25.07138352,121.4332036,週一-週五07:00-20:00 收費20元/時,無,明德路
NewTaipei,T44,安德街116巷,24.96119814,121.5085709,週一-週五07:00-20:00 收費20元/時,無,安德街116巷
NewTaipei,P14,光復路,25.08417969,121.4622941,週一-週五07:00-20:00 收費20元/時,無,光復路
NewTaipei,N28,文昌路,25.15844128,121.4090299,例假日及國定假日08:00-18:00 收費20元/時,無,文昌路
NewTaipei,R27,中華路一段,25.03893556,121.4520622,週一-週五07:00-20:00 收費30元/時,無,中華路一段
NewTaipei,K54,德興街,24.9930246,121.4535609,週一-週五07:00-20:00 收費20元/時,無,德興街
NewTaipei,T64,建八路,24.99857766,121.4904101,週一-週五07:00-20:00 收費20元/時,無,建八路
NewTaipei,P58,長元街,25.06649044,121.50224,週一-週五07:00-20:00 收費30元/時,無,長元街
NewTaipei,Q23,大同路一段,25.05701039,121.6332587,週一-週五07:00-20:00 收費20元/時,無,大同路一段
NewTaipei,KD4,忠孝路,25.00202231,121.4611736,週一-週五07:00-20:00 收費30元/時,無,忠孝路
NewTaipei,307,深南路,25.01448303,121.6229084,週一-週五07:00-20:00 收費60元/次,無,深南路
NewTaipei,I40,中央路四段125巷,24.95675332,121.4170706,週一-週五07:00-20:00 收費20元/時,無,中央路四段125巷
NewTaipei,V12,新城三路,25.09401312,121.4474582,週一-週五07:00-20:00 收費20元/時,無,新城三路
NewTaipei,K23,莊敬路,25.02462636,121.4713968,週一-週五07:00-20:00 收費30元/時,無,莊敬路
NewTaipei,J06,文化一路一段,25.07396229,121.3771814,週一-週五08:00-18:00 收費20元/時,無,文化一路一段
NewTaipei,D47,集成路,25.05166824,121.4883249,週一-週五07:00-20:00 收費20元/時,無,集成路
NewTaipei,L08,鎮前街,24.98908292,121.4237829,週一-週五07:00-20:00 收費20元/時,無,鎮前街
NewTaipei,P89,仁安街,25.08378994,121.4839692,週一-週五07:00-20:00 收費20元/時,無,仁安街
NewTaipei,102,磺港路,25.22569061,121.6445834,例假日及國定假日10:00-18:00 收費20元/時,無,磺港路
NewTaipei,J59,中華路,25.09349032,121.3795345,週一-週五08:00-18:00 收費20元/時,無,中華路
NewTaipei,B21,大成路,24.94428299,121.3826622,週一-週五07:00-20:00 收費20元/時,無,大成路
NewTaipei,V16,工商路115巷,25.08541347,121.4365144,週一-週五07:00-20:00 收費20元/時,無,工商路115巷
NewTaipei,KA3,和平路,24.9956206,121.4633995,週一-週五07:00-20:00 收費30元/時,無,和平路
NewTaipei,P24,三和路四段,25.07987432,121.4810021,週一-週五07:00-20:00 收費20元/時,無,三和路四段
NewTaipei,O11,貴陽街,25.03312945,121.421832,週一-週五07:00-20:00 收費20元/時,無,貴陽街
NewTaipei,R60,中港一街,25.04545259,121.4502778,週一-週五07:00-20:00 收費30元/時,無,中港一街
NewTaipei,P19,水湳街,25.09103565,121.4697617,週一-週五07:00-20:00 收費20元/時,無,水湳街
NewTaipei,KB0,學成路,24.98943935,121.4495102,週一-週五07:00-20:00 收費30元/時,無,學成路
NewTaipei,104,中山路,25.22354298,121.6358617,例假日及國定假日10:00-18:00 收費20元/時,無,中山路
NewTaipei,301,平埔街22巷,25.00092466,121.6151426,週一-週五、例假日及國定假日08:00-18:00 收費20元/時,無,平埔街22巷
NewTaipei,K56,德興街,24.99259419,121.4538155,週一-週五07:00-20:00 收費30元/時,無,德興街
NewTaipei,P23,保和街,25.08631079,121.4699056,週一-週五07:00-20:00 收費20元/時,無,保和街
NewTaipei,R35,台65線橋下平面停車場,25.04498928,121.4422959,週一-週五07:00-20:00 收費20元/時,無,台65線橋下平面停車場
NewTaipei,Q08,連興街,25.06297197,121.6540797,週一-週五07:00-20:00 收費20元/時,無,連興街
NewTaipei,Q09,樟樹一路,25.06813575,121.6426298,週一-週五07:00-20:00 收費20元/時,無,樟樹一路
NewTaipei,T41,安德街,24.9627431,121.5121208,週一-週五07:00-20:00 收費20元/時,無,安德街
NewTaipei,M11,仁愛路,24.95588859,121.3540233,例假日及國定假日07:00-20:00 收費20元/時,無,仁愛路
NewTaipei,J39,仁愛路一段386巷,25.07688576,121.3877196,週一-週五08:00-18:00 收費20元/時,無,仁愛路一段386巷
NewTaipei,M10,行政路,24.95604635,121.3535514,例假日及國定假日07:00-20:00 收費20元/時,無,行政路
NewTaipei,K05,文德路,25.02350835,121.4609786,週一-週五07:00-20:00 收費30元/時,無,文德路
NewTaipei,P22,中山二路,25.08203867,121.474434,週一-週五07:00-20:00 收費30元/時,無,中山二路
NewTaipei,J51,南勢街,25.07614777,121.3578029,週一-週五08:00-18:00 收費20元/時,無,南勢街
NewTaipei,T09,自強路,24.99567266,121.5202543,週一-週五07:00-20:00 收費30元/時,無,自強路
NewTaipei,O03,文程路,25.04832299,121.4302094,週一-週五07:00-20:00 收費20元/時,無,文程路
NewTaipei,P65,光復路一段,25.0487848,121.4720405,週一-週五07:00-20:00 收費20元/時,無,光復路一段
NewTaipei,J01,中山路,25.07921656,121.3870603,週一-週五08:00-18:00 收費20元/時,無,中山路
NewTaipei,R23,大安路,25.00522681,121.4315085,週一-週五07:00-20:00 收費20元/時,無,大安路
NewTaipei,PA0,中正路243巷,25.08624903,121.4669062,週一-週五07:00-20:00 收費20元/時,無,中正路243巷
NewTaipei,J08,文化三路一段,25.07111673,121.3632073,週一-週五08:00-18:00 收費20元/時,無,文化三路一段
NewTaipei,V14,新城八路,25.09310052,121.4470395,週一-週五07:00-20:00 收費20元/時,無,新城八路
NewTaipei,T96,文化路,25.0149815,121.5155906,週一-週五07:00-20:00 收費30元/時,無,文化路
NewTaipei,T12,自立路,24.99638222,121.522463,週一-週五07:00-20:00 收費30元/時,無,自立路
NewTaipei,P28,溪尾街,25.08419956,121.4877165,週一-週五07:00-20:00 收費20元/時,無,溪尾街
NewTaipei,T90,中正路,24.96960214,121.5452072,週一-週五07:00-20:00 收費20元/時,無,中正路
NewTaipei,D75,成功路,25.0508159,121.4887964,週一-週五07:00-20:00 收費20元/時,無,成功路
NewTaipei,F65,南山路,24.99024423,121.5065006,週一-週五07:00-20:00 收費20元/時,無,南山路
NewTaipei,N34,左岸自行車道旁3處平面停車場,25.15431614,121.4405221,例假日及國定假日08:00-18:00 收費20元/時,無,左岸自行車道旁3處平面停車場
NewTaipei,B01,三樹路,24.94191186,121.3790945,週一-週五07:00-20:00 收費20元/時,無,三樹路
NewTaipei,L10,三多路,25.00787157,121.4148846,週一-週五07:00-20:00 收費20元/時,無,三多路
