縣市,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
Keelung,NCG-26301,和一路停車場,25.154809951782227,121.76811981201172,30元/時,無,基隆市中正區和一路42號
ChiayiCounty,sir005,中埔遊客中心停車場,23.399959564208984,120.5117416381836,免費,無,嘉義縣中埔鄉同仁村同仁1號-9
NantouCounty,SML003,車埕第二停車場,23.83003,120.86686,以次計費，每次100元（跨日則另計次計費）,無,"23.83003,120.86686"
ChiayiCounty,SWC-09001,布袋文創HOTEL停車場,23.382280349731445,120.15522766113281,免費,有,嘉義縣布袋鎮順安路61號
NewTaipei,NCG-12310,龜吼停車場,25.195819854736328,121.68640899658203,平日小車50元/次，假日小車30元/時,無,新北市萬里區漁澳路16號
Tainan,SWC-03002,北門遊客中心小客車停車場A區,23.26578,120.12319,免費\,有,臺南市北門區北門里遊客中心附近
NewTaipei,NCG-45901,白沙灣第二停車場,25.283199310302734,121.51397705078125,平日小車20元/時、大車100元/次，假日小車30元/時、大車100元/次，機車不收費,有,新北市石門區德茂里下員坑33-6號
PingtungCounty,D00012,紅樹林濕地停車場,22.450130462646484,120.4540023803711,免費,有,鵬灣跨海大橋(嘉蓮端)停車場旁
Kaohsiung,ML-00015,茂林牌樓轉運站,22.91877,120.75925,無,無,高雄市茂林區
YunlinCounty,SWC-01502,口湖遊客中心小客車停車場,23.548349380493164,120.18212127685547,免費,有,雲林縣口湖鄉梧南村光明路163號
NewTaipei,TBROCNCG012,三芝遊客中心停車場,25.24871063232422,121.50788116455078,免費,有,新北市三芝區中山路三段164-2號
Taichung,TRIM-00004,梨山文物陳列館停車場,24.25235939025879,121.25605010986328,免費,無,臺中市和平區福壽路14號
NewTaipei,TBROCNCG015,聖宮媽(觀音山生態園區),25.128870010375977,121.4193115234375,免費,無,新北市五股區凌雲路三段130號
NantouCounty,SML002,伊達邵遊客中心停車場,23.848880767822266,120.92945098876953,平日：每小時收費40元，當日最高收費100元。 假日：每小時40元，無當日最高收費。,有,南投縣魚池鄉文化街127號
NewTaipei,NCG-I0002,觀音山遊客中心停車場二,25.128870010375977,121.4189224243164,免費,無,新北市五股區凌雲路三段130號
NewTaipei,NCG-44701,白沙月灣停車場,25.285480499267578,121.52308654785156,平日小車20元/時、假日小車30元/時、機車不收費,有,新北市石門區淡金路極北藍點旁
Keelung,TBROCNCG021,基隆外木山地區停車場,25.166309356689453,121.70668029785156,免費,無,基隆市安樂區湖海路二段198號
PingtungCounty,DPB-00003,大鵬灣遊客服務中心停車場,22.45717,120.47972,無,有,屏東縣東港鎮大潭里大潭路169號
HualienCounty,ERV202,鶴岡遊客中心停車場,23.52395,121.39099,免費,無,花蓮縣鶴岡村興鶴路二段168號
Taichung,TRIM-00005,櫻緣丘停車場,24.255529403686523,121.25769805908203,免費,無,臺中市和平區福壽路介壽巷20號
Tainan,SWC-03005,北門遊客中心機車停車場,23.26633,120.12399,免費,無,臺南市北門區北門里舊埕203號
HualienCounty,ERV-00002,鯉魚潭潭南停車場,23.92414,121.50605,免費,無,花蓮縣壽豐鄉池南村池南路一段111號
PingtungCounty,DPB-00002,濱灣碼頭停車場,22.43655014038086,120.47582244873047,免費,無,大鵬灣環灣道路五段
NewTaipei,TBROCNCG017,凌雲禪寺登山步道口,25.127700805664062,121.42411041259766,免費,無,新北市五股區凌雲路三段116號
Tainan,SWC-02001,七股遊客中心大客車停車場,23.15458,120.1044,免費,無,臺南市塩埕里
PingtungCounty,MAOL09,禮納里遊客中心前臨時停車場,22.69955,120.64404,免費,無,屏東縣瑪家鄉瑪家村和平路1段63號
NewTaipei,TBROCNCG003,獅頭山停車場,25.223419189453125,121.6447982788086,免費,無,新北市金山區磺港路171-2號(獅頭山公園對面)
NewTaipei,TBROCNCG004,大跳石停車場,25.248069763183594,121.63433837890625,免費,無,新北市金山區台二線38-38.2K
Tainan,SWC-03004,北門遊客中心小客車停車場C區,23.26535987854004,120.12290954589844,免費,無,臺南市北門區北門里舊埕
MiaoliCounty,Trimt003,南庄遊客中心停車場,24.59796905517578,121.0001220703125,計次：每次停車100元(以當日為限),無,苗栗縣南庄鄉東村4鄰大同路43號
PingtungCounty,MAOL08,賽嘉樂園停車場,22.82498,120.65071,大型車及小型車80元 /時(8-17) ，機車50元/時(8-17),無,屏東縣三地門鄉賽嘉巷121號
ChiayiCounty,sir004,大埔資訊站停車場,23.301799774169922,120.59014892578125,免費,有,嘉義縣大埔鄉和平村雙溪100號
PingtungCounty,D00009,候船中心旁停車場,22.439180374145508,120.47221374511719,免費,有,屏東縣東港鎮大鵬灣環灣大道五段
