縣市,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
NewTaipei,170075,全聯林口忠孝停車場,25.075444,121.364318,小型車計時50元;,未提供,新北市林口區忠孝路32、36號
NewTaipei,060123,新店國小收費停車場,24.953041,121.54037,小型車月租1500元;,未提供,新北市新店區新店路2號
NewTaipei,010220,大觀國小收費停車場,25.009716,121.449837,小型車月租2000元;,未提供,新北市板橋區大觀路1段30號
NewTaipei,140055,御寬庭收費停車場,25.08099,121.466718,小型車計時40元;小型車月租4000元;小型車月租3800元;,未提供,新北市蘆洲區和平路146~152號B1、B2
NewTaipei,100039,叭叭房淡江複合學舍停車場,25.177642,121.448428,小型車計時100元;小型車月租10000元;,未提供,新北市淡水區北新路182巷16-58號B3
NewTaipei,130090,寶磊收費停車場,24.96486,121.437628,小型車月租6000元;機車免費;,未提供,新北市土城區承天路35號B1、B2
NewTaipei,170077,永雄御花園停車場,25.074819,121.356017,小型車計時80元;,未提供,新北市林口區南勢六街246~252號B1
NewTaipei,060063,新店區中國城停車場,24.947146,121.496475,小型車月租2000元;,未提供,新北市新店區富貴街9巷及如意街交叉口
NewTaipei,100057,水源臨時停車場,25.172385,121.446283,小型車計時40元;,未提供,新北市淡水區水源街1段103號前
NewTaipei,110079,白雲國小收費停車場,25.047721,121.618896,小型車月租2000元;身障車月租1000元;,未提供,新北市汐止區民權街2段90號1F、B1
NewTaipei,030136,景秀停車場,24.99313,121.515678,小型車計時40元;小型車月租3000元;,未提供,新北市中和區景平路240巷2弄1號B1
NewTaipei,080038,吉愛停車場,24.974795,121.328615,小型車月租2500元;,未提供,新北市鶯歌區鳳吉二街101號旁
NewTaipei,010163,板橋果菜批發市場第一停車場,25.020984,121.449356,,未提供,新北市板橋區板城路1000號
NewTaipei,050165,新莊新豐綜合行政大樓附設收費停車場,25.000592,121.431272,小型車月租2500元;,未提供,新北市新莊區樹新路222號B1~B5
NewTaipei,110081,福田停車場,25.071962,121.633319,小型車月租2200元;,未提供,新北市汐止區湖前街110巷2弄與湖東街交叉口
NewTaipei,020185,I世紀社區停車場,25.062607,121.48559,小型車月租3500元;,未提供,新北市三重區三民街68號B1、B2
NewTaipei,110039,正記樟樹停車場,25.068618,121.641709,小型車月租2600元;,未提供,新北市汐止區樟樹一路155巷
NewTaipei,080040,鶯歌停車場-陶博站,24.949581,121.351232,小型車計時20元;小型車計時40元;小型車月租2500元;,未提供,新北市鶯歌區尖山路55-3號旁空地
NewTaipei,020187,元信停車場,25.080022,121.496613,小型車月租2500元;,未提供,新北市三重區五華街1巷44號對面
NewTaipei,040055,迪卡儂中和停車場,25.003671,121.499317,小型車計時50元;小型車計時100元;小型車月租4500元;,未提供,新北市中和區中山路2段228號6F、7F
NewTaipei,020188,元亨股份有限公司中山大樓場停車場,25.061773,121.469699,小型車月租8000元;機車月租800元;,未提供,新北市三重區新北大道2段88號B1
NewTaipei,050187,新莊思源場停車場,25.051806,121.461276,小型車計時30元;小型車月租1500元;,未提供,新北市新莊區思源路370巷
NewTaipei,100058,仁愛停車場,25.170787,121.446436,小型車計時40元;小型車月租4000元;,未提供,新北市淡水區仁愛街17號
NewTaipei,170081,富堡晶璽收費停車場,25.077744,121.372075,小型車計時80元;機車計次50元;,未提供,新北市林口區文化三路1段631號B1
NewTaipei,070059,佳記停車場,25.004292,121.414575,小型車月租4000元;,未提供,新北市樹林區保安街2段98號之3旁空地
NewTaipei,140061,蘆洲鷺江街停車場,25.086068,121.475293,小型車計時40元;小型車月租3500元;,未提供,新北市蘆洲區鷺江街14、16號旁
NewTaipei,080041,永雄鳳福停車場,24.974389,121.32876,小型車計時60元;小型車月租6000元;,未提供,新北市鶯歌區鳳五路與鳳福路交口空地
NewTaipei,110087,汐止秀峰場停車場,25.065528,121.661903,小型車計時50元;小型車月租5000元;,未提供,新北市汐止區福安街8號旁
NewTaipei,090021,台灣聯通三峽停車場,24.936477,121.369934,小型車計時40元;小型車月租4000元;,未提供,新北市三峽區和平街65號B2
NewTaipei,170082,春見築收費停車場,25.072781,121.36298,小型車計時50元;,未提供,新北市林口區三民路180-1號B1
NewTaipei,110088,明峰一停車場,25.068841,121.626615,小型車計時40元;,未提供,新北市汐止區明峰街218號旁空地
NewTaipei,030149,立德一臨時平面停車場,25.009016,121.488253,,未提供,新北市中和區立德街98巷79號旁空地
NewTaipei,090051,悅灣悠悅社區停車場,24.936134,121.377329,小型車月租2500元;,未提供,新北市三峽區民生街1巷6-1號B1、B2
NewTaipei,170083,麗江清久社區停車場,25.073181,121.364386,小型車計時80元;小型車月租8000元;,未提供,新北市林口區忠孝一路12號B1/50~65號車格
NewTaipei,130092,俥亭員林平面停車場,24.977787,121.44224,小型車計時30元;,未提供,新北市土城區中央路2段99號旁
NewTaipei,210001,三芝中山立體停車場,25.258852,121.500525,小型車計時10元;小型車月租1200元;,未提供,新北市三芝區淡金路一段61號
NewTaipei,030092,永年停車場,24.998804,121.466078,小型車月租2000元;,未提供,新北市中和區華順街52號右側
NewTaipei,100060,淡海新市鎮四季之旅地下停車場,25.186375,121.431152,小型車計時30元;小型車月租2000元;機車計時10元;機車月租500元;,未提供,新北市淡水區新市一路1段106號B1
NewTaipei,050193,捷運迴龍站停車場,25.022757,121.412967,小型車計時30元;小型車計時10元;小型車月租3000元;機車計次20元;機車月租300元;,未提供,新北市新莊區中正路758號
NewTaipei,210002,三芝中正立體停車場,25.254961,121.503378,小型車計時10元;小型車月租1200元;,未提供,新北市三芝區中山路二段48-1號
NewTaipei,110089,新五停車場,25.063832,121.657801,小型車月租1600元;,未提供,新北市汐止區新台五路1段260-1號旁
NewTaipei,020197,永福國小未來樓收費停車場,25.076626,121.479812,小型車月租3000元;,未提供,新北市三重區永福街66號/未來樓B1
NewTaipei,060006,新店區碧潭東岸平面停車場,24.955674,121.536473,小型車計時40元;小型車月租4000元;小型車月租2000元;,未提供,新北市新店區環河路29巷旁
NewTaipei,060008,新店區碧潭渡船頭平面停車場,24.960742,121.536851,小型車計時40元;小型車月租4000元;身障車月租2000元;,未提供,新北市新店區新店路67號旁空地
NewTaipei,060112,新店區碧潭西岸平面停車場,24.961157,121.533209,小型車計時40元;小型車月租4000元;身障車月租2000元;,未提供,新北市新店區溪州路31號旁空地
NewTaipei,170086,富堡晶宴收費停車場,25.075905,121.366065,小型車計時80元;機車計次50元;,未提供,新北市林口區民族路81號B1/49~58、65~72及74~85號車格
NewTaipei,010242,六三停車場,25.035586,121.471422,小型車月租2000元;,未提供,新北市板橋區華江六路右轉華江三路70公尺處
NewTaipei,050079,成功停車場,25.018294,121.421531,小型車月租1500元;,未提供,新北市新莊區成功街202號旁
