停車場ID,停車場名稱,地址,即時剩餘車位
050136,碧瑤中平停車場,新北市新莊區中平路、榮華路2段交叉路口,-9
040032,宏達經營管理顧問有限公司永利停車場,新北市永和區永利路47號與永貞路70巷5號1~3F,-9
040039,香檳停車場,新北市永和區民權路49巷5弄27號B1,-9
060082,新店高中停車場,新北市新店區三民路161號B1、B2,95
040006,秀朗國小地下停車場,新北永和區民權路1號B1-B3,184
030156,探索中和停車場,新北市中和區建八路3號,-9
010153,Times 八里中山路停車場,新北市八里區中山路2段283號旁,-9
010146,江翠國中游泳池共構地下停車場,新北市板橋區松江街63號B2~B4,32
030064,時代大樓地下停車場,新北市中和區建康路101、103、105、107、107-1、109、111、113、115、117、119號B1~B3,-9
020087,台灣聯通介壽停車場,新北市三重區龍門路6-1號/1、2、5、6、7、8號車格位,-9
020113,碧華國小地下停車場,新北市三重區五華街160號B1、B2,44
030068,便利停車場威力站,新北市中和區中山路2段291、293、295、297號B4、B5及5F至11F,-9
030026,捷運南勢角站轉乘停車場,新北市中和區捷運路6號B1、B3,59
060007,捷運新店站轉乘停車場,新北市新店區北宜路1段2號B2~B4,12
080030,Times 鶯歌建國路停車場,新北市鶯歌區建國路59號旁,-9
010262,博客停車場燦坤新埔場,新北市板橋區雨農路19號B1,-9
130110,Times土城中央路四段第2停車場,新北市土城區中央路4段88號旁,-9
090059,Times三峽大學路第3停車場,新北市三峽區大學路152號旁,-9
110094,鄉長場停車場,新北市汐止區鄉長路1段55巷及鄉長路1段交叉口空地,-9
130100,土城青和街停車場,新北市土城區青和街1巷1號對面空地,-9
020007,三重區三張地下停車場,新北市三重區大智街188號B1,31
180001,深坑區公有立體停車場,新北市深坑區北深路2段192號,70
070040,Times樹林學林路停車場,新北市樹林區學林路79號旁,-9
040058,帥帥停車場,新北市永和區永福水門進入後右轉,-9
130112,Times土城慶樂街停車場,新北市土城區慶樂街2-1號旁,-9
050039,新莊區中正停車場(二),新北市新莊區福營路與福營路125巷口,-9
050082,新莊區中正停車場,新北市新莊區中正路621號,52
